,pretty_comp,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
2050,PuTi,0.701871182976,2.16947747984,-6.32957534368,-30.9609796784,-1251.61224211,202.168416251,-67589.9169959,-2213.14124837,-217651.222109,-41754.279133,-62486.5732019,-207.551620985,-107630.731974,-32.3068020882,-172421.301334,-15.2011681447,-23545.2960184,-0.977452843825,-10967.2001818,-4.89439001457,-3483.21677811,-837.654074427,-794.362359336,-0.28469242526,-244.369877026,-0.0809022514036,-41.4583010244,-4.96976889931,-3.74971920159,-0.633993603963,0.0274942503449,-0.824789147057
2051,MgB,-1.44175119723,1.2547621086,45.7872484778,39.854187382,-790.570417912,-37.0287595874,-63570.7145441,-3270.83502669,-204804.243776,-43610.5302255,-62022.8743157,-208.022395511,-106821.378587,1283.36186855,-170784.587955,-15.1916027181,-23321.7912577,-0.976837753433,-10863.0994514,-4.89162105111,-3437.81347667,-837.079112293,-786.916373544,-0.284516025929,-242.079278687,-0.0808521285759,-39.2649566811,-6.33362244573,-3.74510096911,-0.794805916463,0.117286934216,-0.90465472415
2052,PaRe,-3.22171501207,4.24599245256,66.6611107241,78.138962794,-69.2631238794,-535.213433838,-38763.9319218,-2624.36965294,-120593.380398,-57811.6603614,-39514.0395815,-202.492675301,-68062.4421927,-31.653015872,-110397.489324,-14.8386830392,-15075.5046369,-0.954143777456,-7022.26595973,-4.78948500712,-1744.99081467,-815.642148479,-509.299266231,-0.277939130218,-156.676301304,-0.0789833325128,-21.9871019616,-6.16995873553,-2.49171828853,-1.70754275952,1.37927136342,-1.36030590579
2053,YbNd,6.53258943963,-1.2912347685,22.4118464278,-73.1818005655,-825.07416267,-305.280841542,-64591.258035,-2461.96705117,-209085.368619,-43130.5224714,-60443.0004978,-207.101591246,-104110.846905,-32.2486388305,-167235.458073,-15.1708605761,-22837.1323222,-0.97550396057,-10637.362174,-4.8856201493,-3337.34772628,-835.806869959,-770.440337477,-0.284125699943,-237.010777414,-0.0807412180834,-38.2395497345,-6.32390932404,-3.73568883519,-1.03373061972,0.297263995937,-1.06505740009
2054,CdHg,-2.36478496209,-1.95099376365,25.9982592164,83.2330770354,-934.31894072,-132.371566456,-65083.7666611,-2411.77726194,-209616.075598,-43067.2090185,-60578.2685609,-207.131379592,-104343.835032,-32.2524924018,-167832.127018,-15.1743476821,-22918.6116923,-0.975728193725,-10675.312409,-4.88663097997,-3355.36949513,-836.035087607,-773.395846662,-0.284195717515,-237.919977183,-0.0807611143982,-38.4234894116,-6.32565168445,-3.73737720279,-0.990871818103,0.264937071011,-1.03607730338
2055,RuW,-4.08919407502,5.88943070554,104.898478459,120.757878436,-939.658343522,-183.963302822,-65275.9200505,-2399.19647116,-211021.534313,-42664.2709857,-60843.7294919,-207.18983864,-104801.069517,-32.2600438119,-168125.50983,-15.1760622961,-22958.6752909,-0.975838449697,-10693.9726801,-4.88712089991,-3651.06705314,-692.094909796,-773.826194104,-0.284205912673,-238.052364156,-0.0807640104738,-38.4502726139,-6.32590538714,-3.73762304465,-0.984631197969,0.260229961441,-1.03185752438
2056,NbCr,-0.854519065355,6.21340157841,128.706247992,29.2490986899,-1027.74929276,-73.060672468,-65893.8975086,-2337.60977848,-212919.119492,-42349.7063658,-61292.6203501,-207.288692101,-105574.246907,-32.2728612692,-169150.07819,-15.1820501701,-23098.5872782,-0.976223490798,-10759.1387997,-4.88885494895,-3650.23053866,-728.068706414,-780.167441661,-0.284356140172,-240.003114029,-0.080806697552,-38.8350798711,-6.32955045677,-3.74115516029,-0.894969290958,0.192704043666,-0.971734030718
2057,CsAg,-0.327172353461,2.94694080796,52.7564561056,41.3959583668,-966.785514265,-81.7953166725,-65227.1288079,-2527.83731059,-211024.321167,-42718.4074715,-60865.9169914,-207.194724707,-104839.285622,-32.2606880854,-168005.181705,-15.1753590637,-22942.2435282,-0.975793229097,-10686.319291,-4.8869230917,-3359.62153221,-836.088933037,-774.093165692,-0.284212237371,-238.134492432,-0.0807658083112,-38.4465324733,-6.32586995883,-3.73758871286,-0.985502690444,0.260887347017,-1.03244684982
2058,PaCd,-1.38299225343,-0.955428331101,-19.3548291823,3.94166402525,-1195.44568165,166.242009397,-66986.6807321,-2221.68066261,-215916.39465,-41967.2214979,-62046.7524119,-207.454764908,-106873.177052,-32.2942891634,-171522.17194,-15.1959133724,-23422.5135477,-0.977114943559,-10910.0123628,-4.89287056672,-3458.56769093,-837.341932109,-790.319993309,-0.284596659476,-243.126329314,-0.0808750397131,-39.4767850572,-6.3356289806,-3.74704532446,-0.745448923477,0.0801240533885,-0.87160041732
2059,AsP,-2.59048657701,-4.1730420679,-65.608589001,50.021578268,-1357.95622362,345.735734307,-67096.755963,-1455.66252665,-218909.532108,-33998.3836511,-61807.9203864,-207.402170002,-106461.808636,-32.2874966589,-170454.452701,-15.1896733122,-23276.7088602,-0.976713685608,-10842.1016124,-4.89106621068,-3651.37956594,-661.75816724,-785.575431162,-0.284484258296,-241.666765717,-0.0808431011766,-39.1815010982,-6.33283191643,-3.74433493408,-0.814251511793,0.131928413572,-0.917677502264
2060,TaSb,-2.2844749151,1.09385585308,9.59685623178,48.0775711768,-1031.45293404,11.3287648741,-64476.2048455,-2362.85752696,-208142.520945,-43193.1747891,-60183.0371252,-207.044342855,-103663.081543,-32.2412628119,-165929.582096,-15.163228659,-22658.8057841,-0.975013201716,-10554.3038977,-4.88341244213,-3301.77253454,-835.356365535,-764.606128036,-0.283987484444,-235.216008085,-0.0807019456371,-37.8495590162,-6.32021515431,-3.72611072952,-1.10297638937,0.352615381421,-1.11459694695
2061,GdSc,6.3060746191,-0.635991711844,45.5696048588,-74.0509075275,-862.893818285,-270.711885585,-65569.9208725,-2547.43528627,-212300.220407,-42652.3296165,-61225.085928,-207.273819864,-105457.92445,-32.2708774977,-168106.854557,-15.1759532693,-22956.1276835,-0.975831438621,-10692.7860687,-4.88709215623,-3363.47229552,-836.13769696,-774.724677381,-0.284227198216,-238.328763607,-0.080770058875,-41.4844602401,-4.07255891036,-3.73706861792,-0.982810703015,0.270220997763,-1.04127789
2062,OsRh,-6.61293166382,2.19003530139,46.1244647104,158.912320361,-499.42896658,-516.350498227,-63432.5142891,-3704.04041403,-217481.059559,-20827.8251994,-61186.8220129,-207.265393494,-105392.017987,-32.2698365598,-168772.625065,-15.1798442248,-23047.043455,-0.976081640976,-10735.1314646,-4.88821941787,-3651.89513913,-620.686151032,-777.268916424,-0.284287472581,-239.111444336,-0.0807871854723,-38.6351535247,-6.32765666335,-3.73932005287,-0.941553059068,0.227778966424,-1.00293121546
2063,LaYb,6.44650609465,-1.27362116596,10.3282243397,-67.4537811896,-929.453918555,-192.819054153,-65483.1356686,-2418.19425735,-211695.300151,-42718.8627152,-61068.6806583,-207.239376742,-105188.52929,-32.2664336085,-169248.807682,-15.1826271738,-23112.069578,-0.976260594406,-10765.4183753,-4.8890244082,-3393.92157359,-836.523289667,-779.718253429,-0.284345498666,-239.864930647,-0.0808036735386,-38.8169723265,-6.32937893386,-3.74098895338,-0.899188428312,0.195880861115,-0.974559632403
2064,NpRu,-3.42519029211,1.12167297479,-21.8599491054,38.9868154288,-1197.31613682,172.629403413,-66505.1587526,-2289.47641593,-214520.147919,-42072.8088334,-61666.8263957,-207.371098687,-106218.785901,-32.2834895006,-169980.805729,-15.1869051822,-23212.0290507,-0.976535685241,-10811.9760049,-4.89026388893,-3415.37636911,-836.794981254,-783.236766154,-0.284428854089,-240.947325631,-0.0808273586325,-39.0087241484,-6.33119529446,-3.742749028,-0.854509343649,0.162240154213,-0.944638102555
2065,DyTi,3.96436088313,2.02729994351,78.2780453711,-67.9699408292,-126.916149701,-849.886073723,-52255.2106093,-2805.69161354,-170071.926889,-49087.5010691,-51012.7941844,-205.024898169,-87868.0962953,-31.9803852217,-139976.149479,-15.0115492885,-19114.680418,-0.965259684816,-8903.57361524,-4.83951223722,-2573.33262829,-826.131808077,-645.144481036,-0.281157375013,-198.466183216,-0.0798977822825,-41.5458360038,-6.11932699637,-3.12314359034,-1.62848050442,1.21663194881,-1.28234425063
2066,SnHg,-2.66515944453,-3.88276870823,2.2839981087,89.6496229465,-909.431663013,-153.937308069,-65404.3057228,-2522.92282513,-211261.222469,-42601.9756136,-60891.5334459,-207.20036589,-104883.407878,-32.2614118553,-168151.462955,-15.1762139737,-22962.2193583,-0.975848203054,-10695.6233353,-4.88717154311,-3364.55121843,-836.151359839,-774.901614484,-0.284231389949,-238.383194026,-0.0807712494919,-38.5061034152,-6.32643424192,-3.73813551231,-0.97162233615,0.250419278592,-1.0230685086
2067,AcEr,3.84305842552,-0.76783072212,-17.4409881056,-56.7097952901,-1080.59657148,53.0352895712,-64819.9549211,-2339.61099228,-208951.651416,-43154.3907867,-60412.0390728,-207.09477301,-104057.518441,-32.2477598599,-166713.636784,-15.1678109015,-22765.8740214,-0.975307856039,-10604.1725207,-4.8847388153,-3323.82562465,-835.635633591,-768.22275859,-0.28407316433,-236.328587183,-0.0807262911493,-38.0763496236,-6.32236341825,-3.7341908353,-1.07175699028,0.325946097842,-1.09077002375
2068,AlBi,-1.65998643149,-2.57516072034,11.6194367458,64.486041588,-502.143732177,-392.509948575,-55272.5310971,-3034.23189282,-207572.133642,5064.19483518,-53839.6134515,-205.647412227,-92737.0587178,-32.0607133346,-148501.922917,-15.0613763756,-20278.9353008,-0.968463741812,-9445.84292764,-4.85394088112,-2813.50720706,-829.17324524,-684.532283149,-0.282090492821,-210.58300089,-0.0801629249195,-32.89295244,-6.27326391902,-3.33135358496,-1.46127968344,0.793418278397,-1.37012896558
2069,CdPb,-1.95570866451,-2.66482919913,25.2759586543,80.5094088987,-853.722159401,-233.142696466,-65178.3354193,-2538.82281463,-210768.486135,-42811.3912584,-60825.3383791,-207.185788601,-104769.392349,-32.2595291703,-167496.32819,-15.1723851765,-22872.7559794,-0.975601997718,-10653.9544322,-4.88606205369,-3344.73921935,-835.900471712,-771.652514753,-0.284154417062,-237.383677681,-0.0807493782815,-38.3149905261,-6.32462393358,-3.7363813007,-1.01615256158,0.284005530129,-1.05317159175
2070,NbV,-0.292416184639,7.21486185661,136.567476939,28.9521902689,-1036.33643087,-64.5959697967,-65467.8930185,-2243.50471968,-210587.644749,-42780.9328825,-60758.7280292,-207.17111986,-104654.66152,-32.2576142458,-167896.397526,-15.1747232975,-22927.3883036,-0.975752347167,-10679.4002864,-4.88673318152,-3356.49641831,-836.049358335,-773.5806573,-0.284200095776,-237.976829685,-0.0807623579117,-38.425829622,-6.32567385199,-3.7373986863,-0.990326475945,0.264525759754,-1.03570857529
2071,CaPr,7.28088514803,-0.697641636309,51.6215961399,-73.7332759865,-755.681549655,-405.219308421,-65223.4918264,-2585.21400407,-220003.713725,-24755.1105544,-60894.742186,-207.201072509,-104888.934641,-32.2614820299,-168157.654362,-15.176250158,-22963.0648173,-0.975850529777,-10696.0171509,-4.88717831924,-3652.07230595,-606.572542025,-774.414542493,-0.284219850956,-238.233357214,-0.0807679716836,-38.4868891818,-6.32625223595,-3.73795914397,-0.976099383762,0.253794721399,-1.02608852876
2072,CrMo,-2.7551555611,6.75317763628,133.141318015,94.6148276371,-928.104921319,-172.412028761,-65695.7496819,-2341.93678862,-211945.749895,-42701.5545377,-61137.4724047,-207.254525864,-105307.017398,-32.2683925834,-168167.341862,-15.1763067746,-22964.3876932,-0.975854170363,-10696.6332958,-4.88719444729,-3652.08291221,-605.727616972,-774.243663129,-0.284215802734,-238.180789876,-0.080766821549,-38.4539064247,-6.32593980825,-3.73765640013,-0.983784468179,0.259591360581,-1.03128503776
2073,LuBe,1.42779186266,1.19440903658,13.9062505939,-24.4232215449,-1114.02863837,92.3514779231,-65642.09193,-2391.32838992,-211798.929639,-42652.2267535,-61073.6940859,-207.240480785,-105197.164517,-32.2665990212,-168073.315494,-15.1757572573,-22951.5477274,-0.975818834473,-10690.6529044,-4.88703256506,-3652.11012426,-603.559827957,-773.805243787,-0.284205416349,-238.045919571,-0.0807638702707,-41.4856850072,-4.03055167854,-3.73658934673,-0.995264552956,0.279120493724,-1.04920713532
2074,CuRh,-4.16057715991,-0.168415567048,-16.2513870306,65.2487800361,-1127.32076104,118.664476525,-65746.1416795,-2337.95086743,-211210.620191,-42402.661246,-60797.6650399,-207.179694458,-104721.727277,-32.2587124357,-167887.127994,-15.1746691237,-22926.1225565,-0.975748863801,-10678.8107336,-4.8867214947,-3650.55459281,-711.002581493,-774.071444806,-0.284211722791,-238.127810185,-0.0807656613986,-38.4655359542,-6.32604996845,-3.73776314452,-0.981074786414,0.257547535599,-1.0294528115
2075,MoRu,-4.31608727722,4.99371942469,76.7236630543,123.408313553,-871.792292262,-222.650312722,-64355.7789401,-2479.81133708,-218459.244905,-21508.2439082,-60077.4106629,-207.021082098,-103481.148655,-32.238243241,-165308.126041,-15.15959669,-22573.9415263,-0.97477965327,-10514.7770475,-4.88236302927,-3283.08809946,-835.119756251,-761.541945756,-0.28391489235,-234.273377356,-0.0806813198985,-37.6742940432,-6.31855496465,-3.71195303627,-1.11946040304,0.369063432133,-1.12921335014
2076,SmSc,6.48500623967,-0.693165689701,52.3014686715,-79.1966906046,-777.244062983,-354.648164756,-64790.3096242,-2551.02412888,-209797.049987,-43068.5903607,-60633.4536181,-207.143532288,-104438.88672,-32.2540384011,-167404.702213,-15.1718496878,-22860.2438944,-0.975567564164,-10648.1267595,-4.8859045515,-3343.64122451,-835.886567317,-771.472449598,-0.284150151224,-237.328284711,-0.0807481658562,-38.2918702203,-6.32440492752,-3.73616908196,-1.02153967195,0.288068786454,-1.05681417669
2077,PmSc,6.45356666836,-0.72352402556,49.0461886898,-82.5895406787,-749.299750483,-387.468207565,-64675.6271063,-2584.16167557,-209359.971515,-43145.7871197,-60531.9284741,-207.121174711,-104264.018032,-32.2512059013,-167222.954166,-15.1707874996,-22835.4248026,-0.975499261436,-10636.5668838,-4.88559652991,-3651.18156831,-683.518812154,-770.295405684,-0.284122266433,-236.966192839,-0.0807402430737,-38.2305293393,-6.32382387875,-3.73560603943,-1.03583237549,0.298849235705,-1.0664785191
2078,ZnCd,-2.00025055035,-1.56913094832,35.2102049565,65.1395716158,-930.909535935,-169.841136966,-64902.9142794,-2382.56823442,-209710.226951,-42957.7768468,-60563.5456609,-207.128137357,-104318.476014,-32.2520650881,-166808.246159,-15.168363826,-22778.793577,-0.975343410962,-10610.1900412,-4.88489477199,-3652.46230428,-575.504173171,-768.131190596,-0.284070995036,-236.30041825,-0.0807256744673,-38.0958365954,-6.32254800772,-3.73436970447,-1.06721643326,0.32252126437,-1.08769976605
2079,UTc,-2.98565437727,2.98387194855,15.5096382552,45.8804918863,-1079.29603227,26.4657329906,-65332.6109081,-2257.35407528,-210632.6639,-42750.0497224,-60760.1430682,-207.171431476,-104657.098804,-32.2576408802,-168127.868229,-15.1760760793,-22958.9973124,-0.975839335907,-10694.1226225,-4.88713106621,-3363.4387289,-836.137271891,-774.719172772,-0.284227067808,-238.327069551,-0.0807700215013,-38.4837245575,-6.32622225919,-3.73793009856,-0.976836702482,0.254350881764,-1.02658710923
2080,PrTh,3.68163707762,-0.855215951089,-12.8231091892,-58.0530670044,-1106.5144192,50.5818574668,-66118.3561901,-2331.44265184,-213499.211609,-42313.0981502,-61453.3288423,-207.324082866,-105851.054013,-32.2774278862,-170005.101627,-15.1870471745,-23215.3467997,-0.976544815764,-10813.5213142,-4.89030321021,-3650.24190408,-737.14002341,-783.713084513,-0.284440138322,-241.093854524,-0.0808305643824,-39.0655958379,-6.33173400901,-3.74327104985,-0.841257961181,0.152262675856,-0.935763692831
2081,NdEu,6.62846022048,-1.32228414034,30.5718421941,-76.4718924922,-798.904837204,-336.948935435,-64305.2210635,-2474.93875828,-208105.57442,-43284.5356345,-60207.9057769,-207.049819359,-103705.915745,-32.2419630974,-166176.376041,-15.1646709942,-22692.5072001,-0.97510594881,-10570.0008054,-4.88383289238,-3652.63165881,-562.012913051,-765.402682602,-0.284006355242,-235.461050738,-0.0807073071386,-37.9153066259,-6.32083794562,-3.73142173669,-1.09679273763,0.346445263321,-1.10911393081
2082,KIn,0.404188629704,0.462842175085,43.2915368263,36.0882229066,-1133.63728496,39.4939085942,-67072.5893346,-2300.85488853,-216524.0983,-41882.8771955,-62196.9748203,-207.487846457,-107131.922731,-32.298570773,-171565.850651,-15.1961686434,-23428.4781473,-0.977131358278,-10912.7904769,-4.89294346753,-3459.47550033,-837.353428102,-790.468871407,-0.284600186477,-243.17212813,-0.0808760416398,-39.486050774,-6.33571674969,-3.74713037261,-0.743289987184,0.0784985850525,-0.870154654023
2083,AcTm,3.65620145931,-0.630213822466,-17.858383951,-58.2328257657,-1090.56901351,61.5597724349,-64983.6959155,-2304.68366937,-209214.227786,-43170.2470682,-60497.5693441,-207.113608241,-104204.837265,-32.2501905918,-166137.883854,-15.1644460347,-22687.2508524,-0.975091483217,-10567.5525993,-4.88376677043,-3306.21477233,-835.412619561,-765.334639847,-0.284004743273,-235.440118885,-0.0807068491887,-41.4969686465,-3.64354534881,-3.70939749735,-1.10931837279,0.362639892236,-1.12348164214
2084,RbTl,0.325104399184,1.60407698392,54.2526696006,39.3441440561,-1062.51320989,-28.6158080725,-66720.806825,-2369.54335471,-215265.66268,-42153.2726173,-61923.6418192,-207.427653845,-106661.12921,-32.2907854104,-170740.538639,-15.1913452812,-23315.7759989,-0.976821199298,-10860.297731,-4.89154672005,-3436.44763541,-837.06181604,-786.69238215,-0.284510719454,-242.010372129,-0.0808506202423,-39.2443496698,-6.33342724673,-3.74491181663,-0.799607487387,0.120902245966,-0.907870342025
2085,GdZr,5.64534765228,1.43296740669,90.3989046601,-75.4396710376,-425.307648176,-719.272636774,-62235.1688106,-2797.50307073,-202319.241437,-44110.0938729,-58786.3979991,-206.736778979,-101257.486109,-32.2014835387,-162169.730534,-15.1412549984,-22145.3713359,-0.973600217961,-10315.1639808,-4.87704913924,-3195.85066643,-834.015029963,-747.23530132,-0.283575960397,-229.8722437,-0.080585014116,-36.7953543219,-6.31022924724,-3.64095332859,-1.20212636409,0.451549100849,-1.20251345235
2086,LaSc,6.1305008453,-0.689941640033,44.0910114354,-83.5782386571,-829.315862153,-313.491034312,-65197.3389892,-2510.54259425,-210912.46157,-42885.2350731,-60897.9248031,-207.201773376,-104894.416475,-32.2615826842,-168044.788151,-15.1755905352,-22947.6520975,-0.975808113608,-10688.8384207,-4.88699155457,-3360.99321711,-836.106303291,-774.318114575,-0.284217566528,-238.203693184,-0.0807673224575,-38.4808879822,-6.32619538986,-3.73790406258,-0.977497619908,0.254849351879,-1.02703397277
2087,YbPm,6.3934760955,-1.10803593726,18.8597461759,-70.4135387845,-867.359466954,-260.462383237,-64821.3891307,-2456.19738657,-210040.938967,-42794.1683685,-60598.8837948,-207.13591942,-104379.343049,-32.2530679898,-167306.139713,-15.17127366,-22846.7844218,-0.975530523376,-10641.8577743,-4.88573938695,-3340.11218204,-835.841877488,-770.893698988,-0.284136440317,-237.150244473,-0.0807442702679,-38.2341650573,-6.32385831793,-3.73563940914,-1.03498529268,0.298210367834,-1.06590579341
2088,LaEu,6.46780566018,-1.31882066015,21.2573595898,-72.7402897356,-820.189232508,-300.645365528,-64446.5712872,-2484.14190112,-208470.15541,-43226.1738536,-60294.9687631,-207.068992121,-103855.874488,-32.2444123199,-166783.726627,-15.1682205268,-22775.4451884,-0.975334196117,-10608.6304578,-4.88485617973,-3325.73031706,-835.659753556,-768.53512126,-0.284080564366,-236.424678691,-0.0807283941016,-41.4595882464,-6.18618022656,-3.73151791316,-1.08965474564,0.364489415049,-1.12095075856
2089,AsPb,-2.63436364918,-3.67460343247,-16.08041283,72.6137261487,-951.689477183,-44.5206202327,-65174.0798509,-2776.9844733,-219975.8335,-24873.5771757,-60902.8786604,-207.2028643,-104902.949043,-32.261731425,-167788.408268,-15.174092177,-22912.6415995,-0.975711763888,-10672.5317552,-4.88655388821,-3353.9422422,-836.01701367,-773.161780652,-0.284190172368,-237.847972017,-0.0807595384999,-38.3860641646,-6.32529717546,-3.73703367979,-0.999592076076,0.271514489337,-1.04197375717
2090,NdSc,6.62066283089,-0.705734268791,51.3493652234,-82.0763481498,-794.426901091,-346.352488377,-64707.7755877,-2541.6819563,-209617.95931,-43061.2220524,-60576.4768129,-207.130985019,-104340.74883,-32.252464117,-167093.911198,-15.1700333352,-22817.8030985,-0.975450766089,-10628.3592971,-4.88538046652,-3335.02024695,-835.777396056,-770.058638869,-0.284116657302,-236.893356643,-0.0807386495691,-41.4906758401,-3.85937611824,-3.73462306989,-1.04601258751,0.315385963805,-1.08151874983
2091,MnCr,-2.6477855629,5.3111258861,134.558892363,110.052710585,-1032.75995899,-107.816534415,-66252.1162933,-1826.40961525,-211562.562665,-42489.8715854,-60938.3120092,-207.210667331,-104963.980086,-32.2627489137,-168347.236393,-15.1773581303,-22988.9536112,-0.975921776351,-10708.075259,-4.88749609,-3369.31511603,-836.211687187,-775.682879742,-0.284249898535,-238.623534128,-0.080776509537,-38.5549121549,-6.32689658054,-3.738583524,-0.960249650844,0.241856375385,-1.01545228447
2092,NiPb,-3.41398764213,-1.29230869175,-20.2685033677,58.9859559212,-609.992992286,-209.366489401,-56351.079791,-2714.42153217,-181494.457551,-47426.9541011,-53806.7618898,-205.64017775,-92680.4746098,-32.0598122308,-147467.313542,-15.055329819,-20137.6520977,-0.968074927093,-9380.03819259,-4.852188691,-2783.42382047,-828.792285979,-679.598719918,-0.281973614106,-209.06529512,-0.0801297156254,-32.5588592771,-6.2700992364,-3.30537964467,-1.47328327252,0.818997412413,-1.37007631449
2093,FeRu,-5.03697850034,3.23253686357,52.6418178663,117.293198876,-1050.2621122,3.73258727802,-65418.9600998,-1663.69671301,-214256.521472,-25142.8542046,-59465.2915372,-206.886282974,-102426.824101,-32.2208113961,-163918.071354,-15.1514728081,-22384.1197489,-0.974257259245,-10426.364706,-4.88000290723,-3245.46775425,-834.643353142,-755.372332873,-0.283768730966,-232.375428486,-0.0806397885983,-37.2891463397,-6.31490667016,-3.68084123733,-1.15568430707,0.405208306384,-1.1613331476
2094,BeCl,-1.36241442943,-0.852889227322,-92.157652558,-37.6128361371,-1351.44462113,423.417563587,-64741.2730583,-2242.1682086,-210586.331891,-42939.9689215,-60821.0402835,-207.184842087,-104761.989245,-32.2594243554,-167928.727604,-15.1749122438,-22931.8032206,-0.975764497123,-10681.4565836,-4.88679124907,-3650.42747904,-711.685925805,-774.335601148,-0.284217980794,-238.209072083,-0.0807674395157,-41.4849785313,-4.05478249446,-3.73686580144,-0.988080887859,0.273986969285,-1.04463328362
2095,PPb,-1.77255851911,-3.84935566893,-49.2064675413,49.170858505,-1278.3132469,243.203096347,-66817.104422,-1069.46610547,-217300.635523,-29375.161131,-60796.0827646,-207.179346014,-104719.001964,-32.2586688425,-167829.937565,-15.1743348863,-22918.3127421,-0.975727371007,-10675.17319,-4.88662248716,-3354.75818584,-836.027346326,-773.295592603,-0.284193342443,-237.889135831,-0.0807604390376,-41.4326333888,-6.20681688011,-3.73467520737,-1.01014300405,0.303472580374,-1.07190042776
2096,ZnOs,-5.12112293102,1.78925073348,42.7800151636,89.7711216234,-284.738118158,-630.958280243,-53234.0590802,-2545.73584958,-200375.293747,15999.6984187,-50573.2180232,-204.928095964,-87110.9627321,-31.9679621824,-138135.598698,-15.0007925771,-18863.340086,-0.964567990273,-8786.50790071,-4.83642319599,-2521.35318237,-825.473569311,-636.6200212,-0.280955426063,-195.843814573,-0.0798404000899,-29.8238504553,-6.244191987,-3.09274774821,-1.57154900732,1.02855886034,-1.36992556862
2097,CeRu,0.149630988611,0.466240710151,7.86029245069,0.55199823226,-1227.93304961,177.607496351,-67601.3645532,-2295.16364879,-222936.599849,-31347.6833268,-62502.0070395,-207.555019781,-107657.315495,-32.3072512608,-172644.295475,-15.202471387,-23575.7474344,-0.977536646842,-10981.3833818,-4.89476983824,-3489.42120272,-837.732643807,-795.379863074,-0.28471653046,-244.682890272,-0.0809091008733,-39.7854588292,-6.33855287917,-3.75109286415,-0.6270161189,0.000443755525264,-0.800729242772
2098,SrAc,3.46996032418,0.665345008514,11.4118132581,-60.5110874018,-737.859797142,-263.765753759,-59427.2900319,-2204.53031673,-190157.673558,-46358.0008071,-56000.8956255,-206.123363609,-96459.6886205,-32.1222629814,-155005.604557,-15.0993857731,-21167.05908,-0.970907879476,-9859.50007606,-4.86494111941,-3655.89206314,-302.279896685,-712.873576476,-0.28276191301,-219.301592251,-0.0803537052643,-41.4984916623,-6.15601827613,-3.45391719286,-1.53920644944,1.08714717922,-1.20215791444
2099,GeAu,-3.0628812348,-3.23960644187,-8.93448736418,98.3094027475,-995.639783893,-30.0426007547,-65251.6045714,-2427.84781119,-218967.069771,-23969.4016594,-60526.2981032,-207.119934807,-104254.320209,-32.2510235511,-166490.467838,-15.1665066376,-22735.3986796,-0.975223987177,-10589.978169,-4.88436131697,-3317.11916538,-835.550706725,-767.122920333,-0.284047108581,-235.990245155,-0.0807188875965,-38.0201383235,-6.32183095921,-3.73367487405,-1.08485453699,0.335825045602,-1.09962619815
2100,MgRe,-1.8985716404,3.96048596853,90.0929165941,46.7249694626,549.0775235,-948.063608669,-29953.5216796,-3994.66857621,-93811.9699148,-61524.514272,-32892.1002896,-201.03441076,-56656.6996448,-31.4645159093,-89739.379949,-14.7179510701,-12254.4938948,-0.946380289119,-5708.33750446,-4.75452715963,-1166.89661908,-808.321485406,-414.4937853,-0.275693138367,-127.511416542,-0.0783451337449,-16.0867621623,-6.11406802926,-2.04574653434,-1.69418875617,1.44400036607,-1.34446283473
2101,AcLu,3.64436269476,-0.399674548902,-18.556022573,-55.2740985668,-1112.96635626,73.0856430474,-65705.1903504,-2342.96804106,-212245.040386,-42503.8071296,-61149.8630294,-207.257254492,-105328.359204,-32.2687442104,-168473.411198,-15.1780955324,-23006.1835917,-0.975969193665,-10716.1003899,-4.88770913178,-3372.9739698,-836.258020874,-776.282920178,-0.284264113809,-238.808123802,-0.0807805481358,-38.6031701728,-6.32735370247,-3.73902648067,-0.949005320488,0.233389987139,-1.007921905
2102,HgPb,-2.8340040125,-3.02690345395,27.4612476722,118.945046674,-794.784741612,-280.360215251,-64662.5456434,-2581.44294645,-209004.081423,-43110.6106711,-60410.6064556,-207.094457523,-104055.050886,-32.2477175602,-166924.212955,-15.1690415695,-22794.6296366,-0.975386992173,-10617.5659263,-4.88509187808,-3652.44145131,-577.165379728,-768.467158614,-0.284078954295,-236.40377141,-0.0807279364566,-38.0815407137,-6.32241259062,-3.73423848275,-1.07054745777,0.325033734911,-1.08995211889
2103,PrSc,6.48056766341,-0.740374009714,51.9229791147,-78.7289399203,-799.295491833,-346.69295281,-65019.6336735,-2553.12077194,-210381.044442,-42974.422002,-60772.6442886,-207.174184459,-104678.631109,-32.2580237732,-167580.907291,-15.1728794813,-22884.3059061,-0.975633783389,-10659.3340021,-4.88620062728,-3651.16848598,-684.209300284,-771.591029463,-0.284152960443,-237.364763028,-0.0807489645076,-38.2897379015,-6.32438472922,-3.73614951015,-1.02203650982,0.288443595992,-1.05715018181
